year,age,race,sex,marital,educ,degree,sibs,agekdbrn,coninc,region,partyid,wrkstat,hrs1,earnrs,happy,health,relig,attend,postlife,socrel,news,tvhours,satjob,class,satfin,polviews,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,fear,owngun,hunt,gunlaw,grass,courts,fepol,fefam,fehire,vote_last_pres_election
1998,26,white,male,never married,12,high school,2,NA,12037,west,"independent (neither, no response)",other,NA,0,no answer,good,none,never,yes,several times a month,a few times a week,5,iap,lower class,not satisfied at all,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,about right,disagree,strongly disagree,iap,did not vote
1998,40,white,male,married,15,associate/junior college,3,NA,88273,south,strong republican,working full time,48,2,pretty happy,good,protestant,about once a month,yes,iap,iap,3,moderately satisfied,middle class,pretty well satisfied,extremely conservative,a great deal,a great deal,only some,hardly any,hardly any,hardly any,hardly any,only some,hardly any,only some,only some,only some,a great deal,yes,yes,"yes, respondent does",oppose,should be legal,not harshly enough,iap,iap,iap,voted
1998,47,white,male,married,12,high school,3,19,40124,south,"independent (neither, no response)",working full time,60,1,pretty happy,fair,protestant,less than once a year,no,about once a month,never,1,very satisfied,middle class,more or less satisfied,conservative,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,a great deal,hardly any,hardly any,a great deal,hardly any,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,did not vote
2018,47,white,female,divorced,13,high school,0,21,47317.5,south,not very strong republican,working part time,40,1,very happy,good,catholic,nearly every week,yes,almost daily,less than once a week,4,very satisfied,middle class,pretty well satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly disagree,iap,did not vote
1998,42,white,male,married,16,bachelor's,6,23,48149,northeast,not very strong republican,working full time,31,3,pretty happy,excellent,catholic,nearly every week,yes,iap,iap,1,very satisfied,working class,not satisfied at all,conservative,only some,a great deal,a great deal,a great deal,only some,only some,only some,a great deal,hardly any,only some,only some,hardly any,a great deal,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
1998,68,white,male,married,16,bachelor's,2,24,17387,midwest,not very strong republican,retired,NA,0,very happy,good,catholic,every week,yes,about once a month,a few times a week,1,iap,middle class,pretty well satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, respondent does",oppose,iap,not harshly enough,disagree,agree,iap,voted
2018,87,black,female,divorced,12,high school,1,19,22782.5,west,strong democrat,retired,NA,0,pretty happy,fair,protestant,several times a week,yes,almost daily,once a week,6,iap,middle class,pretty well satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,don't know,disagree,strongly disagree,iap,voted
1998,41,white,female,married,14,associate/junior college,5,NA,NA,south,strong democrat,working part time,18,2,very happy,excellent,catholic,every week,yes,several times a year,every day,1,very satisfied,middle class,pretty well satisfied,slightly liberal,only some,only some,only some,hardly any,only some,a great deal,hardly any,only some,hardly any,only some,only some,hardly any,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,strongly disagree,iap,voted
1998,22,white,female,never married,11,high school,1,21,72223,south,strong democrat,working full time,40,3,pretty happy,good,don't know,never,iap,iap,iap,NA,moderately satisfied,middle class,more or less satisfied,liberal,only some,hardly any,hardly any,only some,hardly any,a great deal,hardly any,only some,only some,only some,a great deal,hardly any,only some,no,yes,"no, neither r nor spouse hunts",oppose,should be legal,not harshly enough,iap,iap,iap,did not vote
1998,27,white,female,never married,16,bachelor's,6,NA,29424,northeast,not very strong democrat,working full time,50,1,pretty happy,good,catholic,about once a month,iap,iap,iap,NA,moderately satisfied,working class,more or less satisfied,slightly conservative,only some,only some,only some,only some,only some,only some,a great deal,only some,only some,only some,a great deal,only some,only some,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
1998,54,black,female,married,16,bachelor's,5,19,22737,south,strong democrat,retired,NA,1,pretty happy,fair,protestant,several times a week,yes,almost daily,every day,2,iap,working class,more or less satisfied,conservative,only some,a great deal,a great deal,only some,hardly any,only some,hardly any,a great deal,hardly any,hardly any,only some,hardly any,only some,iap,iap,iap,iap,should be legal,not harshly enough,disagree,agree,iap,voted
2018,37,black,female,married,15,high school,5,19,31544.999999999996,south,not very strong democrat,"unemployed, laid off, looking for work",NA,2,pretty happy,fair,protestant,several times a week,yes,iap,iap,NA,a little dissatisfied,lower class,not satisfied at all,slightly conservative,only some,a great deal,a great deal,hardly any,hardly any,only some,only some,only some,only some,only some,only some,hardly any,only some,yes,no,"no, neither r nor spouse hunts",favor,should be legal,about right,iap,iap,iap,voted
1998,79,black,male,widowed,9,less than high school,6,19,12037,northeast,strong democrat,retired,NA,0,pretty happy,poor,protestant,several times a week,yes,once or twice a week,a few times a week,1,iap,working class,more or less satisfied,"moderate, middle of the road",a great deal,only some,a great deal,a great deal,only some,a great deal,a great deal,a great deal,only some,a great deal,only some,a great deal,a great deal,iap,iap,iap,iap,should not be legal,about right,don't know,strongly agree,iap,voted
1998,58,black,female,divorced,12,high school,0,18,9630,northeast,not very strong democrat,keeping house,NA,0,pretty happy,poor,protestant,about once or twice a year,yes,about once a year,never,5,moderately satisfied,middle class,pretty well satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,don't know,don't know,disagree,iap,did not vote
1998,34,white,male,married,18,graduate,3,25,72223,west,not very strong democrat,working full time,40,2,pretty happy,good,none,never,yes,about once a year,a few times a week,1,very satisfied,middle class,not satisfied at all,"moderate, middle of the road",a great deal,only some,only some,only some,only some,only some,hardly any,a great deal,only some,only some,a great deal,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,agree,disagree,iap,voted
2018,37,white,male,married,11,high school,1,33,70100,south,"independent, close to republican",working full time,40,2,very happy,good,none,less than once a year,yes,iap,iap,NA,moderately satisfied,working class,pretty well satisfied,conservative,only some,a great deal,hardly any,a great deal,only some,hardly any,hardly any,hardly any,hardly any,hardly any,only some,hardly any,a great deal,no,yes,"yes, both do",oppose,should be legal,not harshly enough,iap,iap,iap,voted
2018,49,other,male,divorced,13,bachelor's,4,21,112160,south,"independent (neither, no response)",working full time,89,1,pretty happy,good,protestant,2-3 times a month,no,once or twice a week,once a week,0,a little dissatisfied,working class,more or less satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, respondent does",oppose,iap,not harshly enough,disagree,agree,iap,did not vote
2018,51,black,female,married,14,graduate,6,23,152135.07879,south,"independent, close to democrat",working full time,40,2,very happy,iap,none,about once a month,yes,several times a month,every day,2,very satisfied,working class,pretty well satisfied,"moderate, middle of the road",only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,iap,iap,iap,iap,should not be legal,about right,disagree,disagree,iap,voted
1998,62,white,male,married,8,less than high school,3,27,12037,midwest,strong democrat,retired,NA,1,pretty happy,fair,protestant,never,no,never,every day,8,iap,lower class,not satisfied at all,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,agree,iap,voted
2018,19,other,male,never married,13,high school,1,NA,47317.5,west,not very strong democrat,in school,NA,1,very happy,good,catholic,nearly every week,yes,almost daily,less than once a week,1,iap,middle class,more or less satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,too harshly,disagree,disagree,iap,ineligible
2018,23,white,male,never married,14,high school,0,NA,14896.249999999998,south,"independent (neither, no response)",working full time,40,1,very happy,iap,jewish,never,yes,about once a month,never,2,very satisfied,middle class,more or less satisfied,"moderate, middle of the road",a great deal,only some,a great deal,a great deal,only some,only some,hardly any,a great deal,a great deal,only some,only some,only some,a great deal,iap,iap,iap,iap,should be legal,don't know,disagree,strongly disagree,iap,did not vote
2018,30,other,male,never married,16,bachelor's,1,NA,57832.5,west,"independent, close to republican",working full time,60,1,pretty happy,fair,protestant,never,yes,once or twice a week,never,1,a little dissatisfied,middle class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,about right,disagree,strongly disagree,iap,did not vote
2018,34,white,male,married,17,high school,3,NA,16648.75,west,not very strong democrat,working part time,22,2,pretty happy,iap,protestant,every week,yes,several times a month,never,2,very satisfied,working class,not satisfied at all,liberal,hardly any,hardly any,only some,hardly any,hardly any,hardly any,only some,a great deal,only some,only some,a great deal,hardly any,don't know,iap,iap,iap,iap,should be legal,too harshly,disagree,strongly disagree,neither agree nor disagree,voted
1998,29,white,female,never married,13,high school,1,NA,88273,northeast,not very strong democrat,working full time,40,3,very happy,excellent,none,less than once a year,no,iap,iap,4,very satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,only some,hardly any,hardly any,hardly any,a great deal,only some,only some,only some,no answer,hardly any,yes,no,"no, neither r nor spouse hunts",favor,don't know,about right,iap,iap,iap,voted
2018,65,white,female,widowed,12,high school,4,NA,38555,midwest,"independent, close to republican",working full time,37,1,not too happy,poor,catholic,several times a year,yes,several times a year,a few times a week,3,a little dissatisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,voted
1998,63,white,female,married,8,less than high school,5,21,535,south,not very strong democrat,retired,NA,1,very happy,fair,protestant,several times a week,yes,once or twice a week,every day,11,iap,middle class,pretty well satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"yes, spouse does",favor,iap,not harshly enough,disagree,agree,iap,did not vote
